Table Name - mytab
a,b,
12,cs20b012,
13,Harmit,

Table Name - cs20b012_table1
i1,s1,d1,
12,cs20b012,Mon Mar 08 00:00:00 IST 202,

Table Name - cs20b012_table2
i21,i22,s21,s22,d21,d22,
12,433,cs20b012,Harmit,Mon Mar 08 00:00:00 IST 202,Fri Feb 09 00:00:00 IST 182,

Table Name - cs20b012_table1
i1,s1,d1,
12,cs20b012,Mon Mar 08 00:00:00 IST 202,
994,SnWSlGuORv,Sun Jun 09 00:00:00 IST 205,
20,UQ6HYG2,Tue Jul 01 00:00:00 IST 200,
627,FHZIO,Wed Oct 07 00:00:00 IST 207,
27,kr,Fri Nov 06 00:00:00 IST 201,
185,BhgxyLXy4X,Fri Jan 08 00:00:00 IST 208,
94,lve,Thu Aug 05 00:00:00 IST 202,
62,gNKBo,Mon Feb 06 00:00:00 IST 204,
67,midGZ,Wed Dec 07 00:00:00 IST 203,
301,dQXuBS,Fri Oct 07 00:00:00 IST 208,
598,0iZucNu1,Thu Feb 02 00:00:00 IST 204,
558,HRE8hjJTlj,Tue Mar 05 00:00:00 IST 205,
410,w8GD,Thu Feb 07 00:00:00 IST 200,
322,4MOnxDN6f,Mon Dec 07 00:00:00 IST 207,
72,SQ,Wed Dec 02 00:00:00 IST 207,
788,q1pKCyVsk,Fri Aug 06 00:00:00 IST 202,
182,6gO,Wed Jan 04 00:00:00 IST 204,
713,6iMS1k,Thu Aug 04 00:00:00 IST 203,
639,MQL78,Sun Jul 05 00:00:00 IST 207,
908,2b6j50TBfi,Sun Nov 04 00:00:00 IST 204,
597,tGGjFLQW,Fri Jun 30 00:00:00 IST 209,
276,yYLa,Sun Jun 05 00:00:00 IST 208,
379,Ifh,Tue Jan 08 00:00:00 IST 205,
152,jE1,Sat Nov 01 00:00:00 IST 200,
203,Sd,Mon May 06 00:00:00 IST 205,
717,KQ0PpPgSE,Thu Nov 08 00:00:00 IST 204,
25,nD1DYTpKwZ,Wed Aug 03 00:00:00 IST 208,
966,8ct,Tue Jul 07 00:00:00 IST 201,
724,84p,Fri Feb 28 00:00:00 IST 206,
242,Ls,Mon Feb 08 00:00:00 IST 208,
403,64X,Fri Jun 02 00:00:00 IST 209,
2,OYZThGk2I,Tue Jul 05 00:00:00 IST 208,
717,CqGLY,Tue Aug 08 00:00:00 IST 209,
513,T4tARj3,Tue Sep 02 00:00:00 IST 200,
77,KZOpZ50,Sat Jul 09 00:00:00 IST 203,
114,Zdq4Hn0K5,Mon Oct 06 00:00:00 IST 206,
267,k2iD9Y,Mon Nov 04 00:00:00 IST 205,
693,uofIxT,Thu Jun 07 00:00:00 IST 204,
975,wMR,Sun Feb 01 00:00:00 IST 201,
249,piK0PC,Thu Feb 02 00:00:00 IST 209,
989,JG4CYb,Fri Aug 05 00:00:00 IST 208,
447,D7u2p72ZB3,Mon Dec 07 00:00:00 IST 201,
266,skTW836d,Thu Apr 07 00:00:00 IST 208,
176,Tio,Wed Sep 30 00:00:00 IST 207,
